mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.5821926771287127,1.982262743247853,-2.809358,3.2553163602153408,-6.663916587297029,3.509810954128788,-7.65029095,7.531703473728564,-2.5729801374514856,5.917971484316284,-0.41673340000000003,6.453108807148734,hand_wash
-2.6702274253960394,1.4840233514173935,-2.7776239,3.0549042228667784,-2.714440454894554,4.221547005386194,-1.3939013500000001,5.018928780312916,-7.347629371930694,6.310520608733328,-9.987231,9.685573175631204,hand_wash
-1.8250874625615765,0.6266448798143834,-1.6046631000000002,1.9296704515012495,0.8130088453133006,0.8184885305987392,0.7711963000000001,1.1536493649629203,-11.096420431034483,0.6397114818139724,-11.145224,11.114844900503297,hand_wash
-1.782183370042211,4.996888030856298,-1.5184423999999999,5.305192508983057,-2.8677410084572865,4.097570235004093,-2.4704626,5.001401835723572,-9.602132715782412,9.076174385991886,-11.1392355,13.212792822731844,hand_wash
-4.251017399133663,2.8150438212421616,-4.26133845,5.098590064248234,-7.479900897524752,3.1452986139240076,-7.3856415,8.114297308303652,-2.9977522772306933,6.648664083262008,-1.0562036,7.2932333575513715,hand_wash
-4.400777228980198,1.96498550242106,-4.57029605,4.819544402102296,-7.848888040544555,3.4633054024528134,-7.350315,8.579016714266396,-2.7223072510693065,4.518443376344243,-2.56027585,5.275157562997876,hand_wash
-4.78459691940594,1.6300512333812704,-4.6984297,5.054644864343747,-7.234037931118812,3.7629805036518977,-7.295229450000001,8.154221425723614,-3.995402410029703,4.151973510243603,-3.3254845,5.762128465058355,hand_wash
-3.4676503541089105,1.5874232438363876,-3.4236805,3.813726725058272,-2.857993417306931,3.7729919896712314,-2.3800506500000003,4.7332435947765275,-9.126868093069307,2.7797900088922227,-9.77168,9.540804666369793,hand_wash
-2.782259803237624,1.7307511576342756,-2.6435028000000003,3.276655182097171,-5.148865147663367,4.184074035329978,-6.75934385,6.634552572852595,-5.374079977956931,5.735450833435193,-7.0599188999999996,7.859779378088803,hand_wash
-2.5646094395841588,1.5076589336026187,-2.59200985,2.974938156949814,-2.7665854504059406,4.4666818677551845,-1.89505925,5.254069086158915,-9.733525364851484,2.8897679583651015,-10.333910500000002,10.15343660449017,hand_wash
-2.1267892569154228,1.5713939155527488,-1.783092,2.6443357164261605,-6.747002377303483,3.1025054698551484,-7.494016,7.426141748567688,-2.982490404905473,6.212608731776738,-1.7136365000000002,6.8914262870251894,hand_wash
