mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-2.1317342019601986,2.763567484440025,-3.389095631789054,4.51325141916365,-8.145801006965176,5.049396438155316,hand_wash
-1.8467616207163366,1.9179540000606756,-3.6494050773465343,3.6336330138720165,-8.310261296336634,5.351653569999329,hand_wash
-1.7911129823000003,1.756739261184049,-7.684882568366337,3.465435564931197,-2.115282452559406,5.688582294637307,hand_wash
-1.6422047180344825,1.3294761372582553,-3.8483126731591137,4.502935564564025,-8.548497164448277,4.31802366372385,hand_wash
-1.0261183928522168,1.3852514014847657,1.557382093807882,2.247771089935329,-11.217941137931035,1.01605495147194,hand_wash
0.5397760489852217,2.2531396270623305,2.742798788226601,1.8618479186632166,-10.252848550738914,2.248804737637529,hand_wash
-1.617458163719212,2.2585560368126365,-0.8996129706650247,3.5649809998762287,-11.255642045812806,2.3098310525749395,hand_wash
-1.4590978097812806,2.557461111375999,-0.6426852032413792,3.0371042202298586,-11.256709775369456,2.403698362926125,hand_wash
-0.7858082671034481,1.3203760209266866,0.11437103573399016,2.560698388685208,-11.09915176847291,1.2602770140565236,hand_wash
-1.9167993315392673,2.164637512796752,-3.1361025136649214,5.625809653349018,-6.592046745445026,7.138246214549351,hand_wash
-5.1502055601030925,2.174964516278678,-7.248100701030928,3.4245740788337367,-1.7066427530670103,4.27129030588023,hand_wash
-5.1119735696534665,1.7948260176582038,-6.038757189341584,3.1570008458643115,-3.430260788366336,6.596181125355065,hand_wash
-4.82647416480198,2.501639609251491,-7.001750662376237,3.9212935198843786,-3.1753513020544553,6.070643898457491,hand_wash
-5.23349897995025,2.71605113191789,-6.344341182477612,4.2026473527213986,-4.618032588386568,5.64188142798168,hand_wash
-4.918587596386138,2.6399035416302854,-6.021381458836634,4.420434504127132,-5.942903035990099,7.446891174966603,hand_wash
-5.721993589452736,4.349842006081749,-6.718291965522387,5.954222298146193,-0.13123159299004966,5.189911939768578,hand_wash
-4.938862263930693,2.9262492062545964,-6.533856337178218,4.977110248840161,-6.481687591336633,6.391164076135197,hand_wash
